query_id	passage_id	final_label
rob_q_FBIS3-10909	rob_FBIS3-10909	3
rob_q_FT941-8917	rob_FBIS3-10383	1
rob_q_FBIS3-32394	rob_FBIS3-10722	1
rob_q_FBIS3-11360	rob_FBIS3-11360	2
rob_q_FBIS3-11617	rob_FBIS3-11056	2
rob_q_FBIS3-10822	rob_FBIS3-11312	1
rob_q_FBIS3-12692	rob_FBIS3-12692	3
rob_q_FT921-10729	rob_FBIS3-12817	0
rob_q_FBIS3-13523	rob_FBIS3-13190	1
rob_q_FBIS3-60811	rob_FBIS3-14121	0
rob_q_FBIS4-13826	rob_FBIS3-14609	1
rob_q_FBIS4-39077	rob_FBIS3-15228	3
rob_q_FT941-11998	rob_FBIS3-1562	1
rob_q_FT922-4987	rob_FBIS3-17616	2
rob_q_FBIS3-20263	rob_FBIS3-18329	2
rob_q_FBIS3-41196	rob_FBIS3-18547	2
rob_q_FBIS3-39138	rob_FBIS3-18736	3
rob_q_FBIS3-17487	rob_FBIS3-18564	3
rob_q_FBIS3-23314	rob_FBIS3-18658	3
rob_q_FBIS4-7486	rob_FBIS3-20763	3
rob_q_FBIS4-42526	rob_FBIS3-19428	3
rob_q_FT941-5427	rob_FBIS3-19498	3
rob_q_FT944-13536	rob_FBIS3-20917	3
rob_q_FBIS3-59774	rob_FBIS3-21237	1
rob_q_FT924-6712	rob_FBIS3-20926	3
rob_q_FBIS3-21433	rob_FBIS3-21433	3
rob_q_FT944-4067	rob_FBIS3-21275	0
rob_q_FT934-10797	rob_FBIS3-21306	3
rob_q_FBIS3-60042	rob_FBIS3-21870	3
rob_q_FBIS3-2650	rob_FBIS3-22383	3
rob_q_FBIS3-4279	rob_FBIS3-2212	3
rob_q_FBIS3-29047	rob_FBIS3-22740	1
rob_q_FBIS3-23578	rob_FBIS3-23578	3
rob_q_FBIS3-39657	rob_FBIS3-24227	1
rob_q_FBIS4-46832	rob_FBIS3-23927	2
rob_q_FBIS4-38899	rob_FBIS3-23932	0
rob_q_FBIS4-41471	rob_FBIS3-24256	3
rob_q_FT924-8127	rob_FBIS3-24256	3
rob_q_FBIS4-595	rob_FBIS3-24725	2
rob_q_FR941205-1-00031	rob_FBIS3-26731	3
rob_q_FBIS4-49614	rob_FBIS3-2485	3
rob_q_FBIS3-333	rob_FBIS3-25280	3
rob_q_FT943-2031	rob_FBIS3-26833	1
rob_q_FBIS4-26676	rob_FBIS3-27136	2
rob_q_FT943-10368	rob_FBIS3-27487	1
rob_q_FBIS3-8852	rob_FBIS3-27800	3
rob_q_FT932-3372	rob_FBIS3-27933	3
rob_q_FBIS4-24930	rob_FBIS3-28361	0
rob_q_FBIS3-28753	rob_FBIS3-28808	2
rob_q_FBIS3-29569	rob_FBIS3-29569	2
rob_q_FBIS4-29284	rob_FBIS3-28850	2
rob_q_FBIS4-12739	rob_FBIS3-2950	3
rob_q_FBIS3-31466	rob_FBIS3-30525	3
rob_q_FBIS3-9308	rob_FBIS3-30758	0
rob_q_FBIS3-8747	rob_FBIS3-30578	2
rob_q_FT924-3666	rob_FBIS3-3088	2
rob_q_FBIS3-16161	rob_FBIS3-3201	0
rob_q_FBIS3-31496	rob_FBIS3-31496	2
rob_q_FBIS3-52018	rob_FBIS3-32237	3
rob_q_FBIS3-33507	rob_FBIS3-32424	3
rob_q_FBIS4-2703	rob_FBIS3-3413	3
rob_q_FBIS3-35244	rob_FBIS3-35244	3
rob_q_FBIS3-43876	rob_FBIS3-343	2
rob_q_FBIS4-1942	rob_FBIS3-3480	3
rob_q_FBIS4-36631	rob_FBIS3-35466	2
rob_q_FBIS4-24771	rob_FBIS3-3579	1
rob_q_FBIS4-35530	rob_FBIS3-35567	1
rob_q_FBIS4-62343	rob_FBIS3-36027	3
rob_q_FT923-4653	rob_FBIS3-37490	3
rob_q_FBIS4-15701	rob_FBIS3-36111	0
rob_q_FBIS3-57026	rob_FBIS3-36140	0
rob_q_FT931-9616	rob_FBIS3-38568	2
rob_q_FBIS3-38312	rob_FBIS3-39301	1
rob_q_FBIS4-7655	rob_FBIS3-39315	3
rob_q_FT932-14337	rob_FBIS3-39935	2
rob_q_FT942-12331	rob_FBIS3-40329	0
rob_q_FBIS3-40020	rob_FBIS3-40020	3
rob_q_FT942-3139	rob_FBIS3-40202	1
rob_q_FBIS3-59168	rob_FBIS3-40583	1
rob_q_FT921-16125	rob_FBIS3-41508	0
rob_q_FBIS3-60297	rob_FBIS3-41605	1
rob_q_FT941-13181	rob_FBIS3-42707	2
rob_q_FBIS3-2781	rob_FBIS3-44522	1
rob_q_FBIS3-26008	rob_FBIS3-45088	1
rob_q_FBIS3-3047	rob_FBIS3-45088	3
rob_q_FR941006-1-00035	rob_FBIS3-46274	0
rob_q_FT941-15778	rob_FBIS3-46325	3
rob_q_FBIS4-10561	rob_FBIS3-46575	1
rob_q_FBIS4-5995	rob_FBIS3-46876	3
rob_q_FBIS4-4610	rob_FBIS3-46876	3
rob_q_FBIS4-52660	rob_FBIS3-46876	3
rob_q_FT933-13394	rob_FBIS3-46876	3
rob_q_FBIS3-48123	rob_FBIS3-47204	2
rob_q_FR940404-2-00194	rob_FBIS3-47262	3
rob_q_LA022790-0090	rob_FBIS3-48831	1
rob_q_FBIS4-66579	rob_FBIS3-48962	3
rob_q_FBIS3-49229	rob_FBIS3-49596	3
rob_q_FBIS4-8672	rob_FBIS3-49609	2
rob_q_FT924-1422	rob_FBIS3-51035	0
